key,source,Translation
15248D8340A8125716828F9974B696A8,+L+, +L+ 
E16C0538432519C71FE2D7BF4EBA93A8,-, - 
D6347FB243F42887602F1EAF4DE10741,-L-, -L- 
2682B48542A1417474F63CBD84629D6B,ไม่มีการเลือกวัสดุใด ๆ,ไม่มีการเลือกวัสดุใด ๆ 
6E0B43EB435E51C4A0C96CA52B7AF713,ไม่บังคับ,ไม่บังคับ
745FBE8A43D41A2226236F8E58BB8088,ตอนนี้คุณกลายเป็นคนแปลกหน้าสำหรับ {SettlementName} แล้ว,ตอนนี้ท่านกลายเป็นคนแปลกหน้าสำหรับ {SettlementName} แล้ว
35B74AFE43A8918FEC559C93D37F812E,กก,กก
D43E99C74BD1314436602EA9062C0061,กก,กก
6EF6352B452A0CA12F858B8FB067E10D,วินาที,วินาที
BFCF164B4FC6E1416A723085B967C63F,ยอมแพ้,ยอมแพ้
969788CD4F5B70E12C8212B063E41673,%,%
9FFDFA884A63D1B28FF42F968B8F3974,(สำหรับสิ่งปลูกสร้างทุกระดับ ไม่ใช่แค่ T1),(สำหรับสิ่งปลูกสร้างทุกระดับ ไม่ใช่แค่ T1)
8027E57144EDE955823BCE9D5ECE3CE0,* ในระหว่างการพัฒนาเราใช้ generative AI เพื่อสร้างต้นแบบเสียงการแสดง ในเวอร์ชันตัวเต็มคาดว่าจะใช้เสียงการแสดงระดับมืออาชีพ,* ในระหว่างการพัฒนาเราใช้ generative AI เพื่อสร้างต้นแบบเสียงการแสดง ในเวอร์ชันตัวเต็มคาดว่าจะใช้เสียงการแสดงระดับมืออาชีพ
0A4CB0B9456832D7EE5355AB4B31629D,+,+
0E3B35944BD5FC4620DE0D95C88CA754,+,+
58FEEEB64BC8E3400BBA2785C167D96A,+,+
F7610685462A038C5EEEF4B8A609B784,+,+
04C2457C4AF88C31088DAD83E53247FC,+,+ 
288A332145DCC4277A28EEA98F97CFDE,+23,+23
07614DD34AD113FD1C581F9323C66D95,+3,+3
7B5528BE4BF063FDDA1DFDB30AD5A606,+3,+3
CE24E7A244714EDD2E1C758D357DDA58,+3,+3
1CF5A51F415FB5CC2E41DCB890EBCD1C,-,-
9C940D864DAD553D371A479B1EC375AC,-,-
1959EFF94E372419D05D0F8D2F39E92E,-,- 
81C951D4453B773A8024799713735B07,-1,-1
0E6F99CC4D09E9DF00B965BD93E7881F,-3,-3
4062AD884110E5318B38CBB034FBDFCE,-3,-3
A40B2E8649392E80A7B03D8020950C38,-3,-3
