KEY	EN	JA	ZH
"15248D8340A8125716828F9974B696A8"	"+L+"	""	""
"E16C0538432519C71FE2D7BF4EBA93A8"	"-"	""	""
"D6347FB243F42887602F1EAF4DE10741"	"-L-"	""	""
"2682B48542A1417474F63CBD84629D6B"	"None materials selected"	"선택된 소재가 없습니다"	"未选择任何材质"
"6E0B43EB435E51C4A0C96CA52B7AF713"	"Optional"	"선택 사항"	"可选"
"745FBE8A43D41A2226236F8E58BB8088"	"You are now a stranger to {SettlementName}."	"이제 당신은 {SettlementName}에 낯선 사람입니다."	"你现在是{SettlementName}的陌生人。"
"35B74AFE43A8918FEC559C93D37F812E"	"kg"	"kg"	"千克"
"D43E99C74BD1314436602EA9062C0061"	"kg"	"kg"	"千克"
"6EF6352B452A0CA12F858B8FB067E10D"	"seconds"	"초"	"秒"
"BFCF164B4FC6E1416A723085B967C63F"	"to give up"	"포기하기"	"放弃"
"969788CD4F5B70E12C8212B063E41673"	"%"	""	"％"
"9FFDFA884A63D1B28FF42F968B8F3974"	"(For buildings of ALL tiers, not only T1)"	"(모든 단계의 건물에 적용되며, T1 단계에만 적용되는 것이 아닙니다)"	"(适用于所有级别的建筑，不仅仅是T1级)"
"8027E57144EDE955823BCE9D5ECE3CE0"	"* We are using generative AI during development to prototype the voice acting. Expect professional voice acting for the full release."	"* 개발 중에 음성 연기를 프로토타입하기 위해 생성 AI를 사용하고 있습니다. 전체 릴리스에서는 전문적인 음성 연기를 기대하세요."	"＊我们在开发期间使用 AI 来制作语音。请期待完整版中的专业人工语音。"
"0A4CB0B9456832D7EE5355AB4B31629D"	"+"	""	""
"0E3B35944BD5FC4620DE0D95C88CA754"	"+"	""	""
"58FEEEB64BC8E3400BBA2785C167D96A"	"+"	""	""
"A5AF4DD046DBE00F366CA781E6F6C8F3"	"+"	""	""
"F7610685462A038C5EEEF4B8A609B784"	"+"	""	""
"04C2457C4AF88C31088DAD83E53247FC"	"+"	""	"+"
"288A332145DCC4277A28EEA98F97CFDE"	"+23"	""	""
"07614DD34AD113FD1C581F9323C66D95"	"+3"	""	""
"7B5528BE4BF063FDDA1DFDB30AD5A606"	"+3"	""	""
"CE24E7A244714EDD2E1C758D357DDA58"	"+3"	""	""
"1CF5A51F415FB5CC2E41DCB890EBCD1C"	"-"	""	""
"2711D03540E6416599A441B2F90B527C"	"-"	""	""
"9C940D864DAD553D371A479B1EC375AC"	"-"	""	""
"1959EFF94E372419D05D0F8D2F39E92E"	"-"	""	""
"81C951D4453B773A8024799713735B07"	"-1"	""	""
"0E6F99CC4D09E9DF00B965BD93E7881F"	"-3"	""	""
"4062AD884110E5318B38CBB034FBDFCE"	"-3"	""	""
"A40B2E8649392E80A7B03D8020950C38"	"-3"	""	""
"379F59AE48B45B39745644903E72C78C"	"...We're fighting to save these innocents, but it's getting harder by the day.<cf>Who could have known that The Butcher, with that grim name, is someone who's got a soft spot for kids. Together, we're a makeshift family in this mess.<cf>But there's talk of a rat among us. Someone leaking our next moves, maybe even leading the king's dogs to our door. Can't trust anyone these days.<cf>And then there's my own kid. Always looking at me like they know something's up. Makes my skin crawl. I'm in this to protect them, but how do you shield your own from a storm like this?<cf>Every move we make feels like a gamble. But we're in too deep now to turn back..."	"...우리는 이 무고한 사람들을 구하기 위해 싸우고 있지만, 날이 갈수록 더 어려워지고 있어.<cf>그 잔인한 이름을 가진 도살자가 아이들을 보호하는 사람이 될 줄 누가 알았겠어. 우리는 이 혼란 속에서 즉석 가족이 되었어.<cf>하지만 우리 사이에 쥐가 있다는 소문이 있어. 우리의 다음 움직임을 누군가 흘리고 있고, 심지어 왕의 개들을 우리 문 앞으로 이끌고 있을 수도 있어. 요즘은 누구도 믿을 수 없어.<cf>그리고 나의 아이가 있어. 항상 내가 뭔가 알고 있는 것처럼 나를 쳐다보고 있어. 소름이 끼쳐. 나는 그 아이를 보호하기 위해 이 일을 하고 있는데, 이런 폭풍우로부터 어떻게 아이를 지킬 수 있을까?<cf>우리가 하는 모든 움직임이 도박 같아. 하지만 지금은 너무 깊숙이 들어와서 뒤돌아설 수 없어..."	"...我们正在努力拯救这些无辜者，但情况一天比一天艰难。<cf>谁会想到，那个名叫屠夫的家伙，竟然对孩子有软肋。在这个混乱中，我们成了一个临时家庭。<cf>但有人说我们中间出了叛徒。有人泄露了我们的下一步行动，甚至可能把国王的狗引到了我们家门口。现在谁都信不过。<cf>还有我自己的孩子。总是看着我，好像他们知道有什么事要发生。让我毛骨悚然。我这样做是为了保护他们，但你如何保护自己的孩子免受这样的灾难？<cf>我们的每一步都像一场赌博。但我们现在已经陷得太深，无法回头了……"
"FD6BFBE147EBACFA93CE8EBA5F78FA63"	"/"	""	""
"B9EEED6F49771580DE652E973D670BE4"	"/CLAN"	"/클랜"	"/部落"
"D83BAA9947C60D0BE3B2BB9487F373C2"	"/COMBAT"	"/전투"	"/战斗"
"DD2259DA4AD9E8C34798EF902EBC28BD"	"/MAP"	"/지도"	"/地图"
"41B79A0647C5E2DD15946EB469E08BEC"	"/OTHER"	"/기타"	"/其他"
"544DFBA847FC49B4ED4DE99AF6749DAB"	"/clan"	"/클랜"	"/部落"
"8AE85017436A3466296985BC2EB1B984"	"/map"	"/지도"	"/地图"
"97E5C9CD4448BDB9203579AAF96ECF55"	"/say"	"/말하기"	"/说话"
"A253475B4596A2A4421AB58B43740286"	"/say"	"/말하기"	"/说话"
"9248A768452F5A960B857E8853BBC7DC"	"0"	""	""
"FC1680AF4E4249B8375102AA89581A0F"	"0"	""	""
"9DE82BA24185C40B07D76AA91E1065A0"	"00"	""	""
"EDE6A9CD47C15BDBC4155F9B5DE4AB2F"	"00"	""	""
"FB7B05614D903FC63F11DE91C269004D"	"000/999 space"	"000/999 공간"	"000/999 空间"
"4D185620453E17F47399DF8B974243CD"	"02:40"	""	""
"422C13214F25C711D10CED9561D31914"	"1"	""	""
"04B7645B4C663F62AB4C02914402EFCA"	"1 Warehouse"	"창고 1개"	"1 仓库"
"9031275D42E9B3DC02054F8C5AEF466A"	"1/3"	""	""
"3F0F47B0458A5FDDC5A6BBB5E14B56BE"	"10"	""	""
"4B0072794C038A73948D459849E68A5E"	"10"	""	""
"72228F1444AAE171AACA26B122F3272A"	"10"	""	""
"ADD8E08D49878F5C11AC588940C4F005"	"10"	""	""
"B1BE89BD47196B5EF2AA94898134BAC0"	"10"	""	""
"E9EA75FA44D54B5997CE2F8B3093E19A"	"10"	""	""
"EE25C5D34510A2B129F7E79A1D639F27"	"10"	""	""
"EE95376B4D0DAD6EEE75B591C32045D8"	"10"	""	""
"F60932AB439A08B01D794BA164379ACA"	"10"	""	""
"8E23CB8E41402600C5D530BAF75E7444"	"10 gold?"	"10골드?"	"10金币？"
"3BF45C5C4A1BE03DE9E6558FE248BBCE"	"10,000k"	""	""
"CD7701024C0E3F3D42FBD2B89C083D8B"	"100"	""	""
"C1C005DB47B1B02E3BC29296BA107D8E"	"100 Coins. I don’t care where the money comes from, but I’m not returning empty-handed."	"100코인. 돈이 어디서 왔는지는 상관없지만, 빈손으로 돌아가지는 않겠습니다."	"100金币。我不关心钱从哪里来，但我不会空手而归。"
"B83C5F994507248E51E4D5B36BC6C99C"	"100 coins? That's daylight robbery! The miller's in a bind, and you're exploiting the situation!"	"100골드? 그건 낮강도입니다! 밀러가 곤경에 처해 있는데, 당신은 상황을 이용하고 있군요!"	"100 枚金币？这是抢劫！磨坊主陷入困境，而你却在趁火打劫！"
"FA6C998D4E454CC317ADC4BE58518672"	"100 gold?"	"100골드?"	"100金币？"
"058B23464E92D03386FE60A8A4F70F26"	"100/100"	""	""
"41DC7995478508063C9A0B9879577F27"	"100/100"	""	""
"CD5F69EC42E270C22296929A723F6CF7"	"100/100"	""	""
"ACB10A034B4FAEA773864B97580F15CE"	"10x10 Grid"	"10x10 그리드"	"10x10网格"
"E85A07E6468D638FA635668AE266CA3B"	"120"	""	""
"7592DC7644EEA1CF02CD2384A1ACADF1"	"15"	""	""
"44108E38463B715005B434BBE885B345"	"16/10 Feb 296345080"	""	"2月16日 296345080"
"B202435C4089105D564074A18528C573"	"2"	""	""
"303159BF4F1801E5FDBBC08EECD9F1EB"	"2 Agility: Novice Books and 2 Archery: Novice Books"	"민첩성 2개: 초보자 책과 양궁 2개: 초보자 책"	"2本敏捷：新手书 和 2本射箭：新手书"
"0AC36CF748996007346B9EB2D5733653"	"2 Strength: Novice Books and 2 Shields: Novice Books"	"힘 2개: 초보자 책과 방패 2개: 초보자 책"	"2本力量：新手书 和 2本盾牌：新手书"
"9BA427CA452581E459057CA3A56E7900"	"2/10"	""	""
"ABB8B2E045AE59ECCBA2848EFA60D4B9"	"3"	""	""
"DE355F3E4DCC3D0FBAF06E83E0AB02AF"	"3"	""	""
"483C143F41D0798D0342D58CD6077DA6"	"3 - 8 (avg 5.4)"	"3 - 8 (평균 5.4)"	"3-8（平均5.4）"
"6EBD5F9A44CA40E25A9B399632B0AC39"	"39/88"	""	""
"713C04C644CA4B8E302B978ED7896AA0"	"39/88"	""	""
"9D98CD9A4FCB747D56086298A1CB418F"	"4 guards"	"경비병 4명"	"4名守卫"
"9739537044DC7DE7EAF5D2BE8B9DE50E"	"4 workers"	"4명의 노동자"	"4 名工人"
"6061B34D4525A3AAE60637934A017441"	"4000"	""	""
"0DDD7CD54EDB4BB699A2DD9B041B2A90"	"5 Bandits were spotted."	"산적 5명 발견."	"发现5个土匪。"
"85A7E17B4A915291440154A295E64E2E"	"5 Buildings"	"건물 5개"	"5 栋建筑"
"32282C2C4C41B54E45BE1884385E9A52"	"50 gold coins is not enough. Make it 100, and I'm in."	"50골드 코인은 충분하지 않아요. 100으로 하면 그만이에요."	"50个金币不够。提价到100个，我就干。"
"8286CF2D4CA6339121F8A1AC1FE9FC79"	"50 gold?"	"50골드?"	"50金币？"
"5C8A2507463034EE1AA53D87122D0098"	"50 gold?! For what?"	"50골드요?! 뭐 때문에요?"	"50金币？！干什么？"
"633CED314BA3F1F0FCE932A34B9611C7"	"56/100"	""	""
"E09D8E55493ECDFD6D78C5ABF37396A0"	"56/400"	""	""
"58AFCE414C3C6F8AABFAE5A0FD6A03AA"	"5x5 Grid"	"5x5 그리드"	"5x5网格"
"F1D3CF514C9792B511B533B7F7B03DD7"	"6.5%"	""	""
"DB3103E74A17224B9653E3A47B0A5206"	"60 will be enough."	"60개면 충분합니다."	"60就够了。"
"75297A9640ACC4B61FDC9FA68841802C"	"7"	""	""
"0E95DDE54681E04F6A8BC5A6CD42B460"	"888"	""	""
"BF66421D4CABCA113E5FB9A8AC77B617"	"888"	""	""
"CAF981314FEC04AF919EE8B5A916857A"	"888"	""	""
"CD02B3BD49024215D0B9DD822FE3D12F"	"888"	""	""
"F1D651BB4BBB0D6006D607A92C2852DA"	"888"	""	""
"F3E834704D6D96D7609010B0BBC78FAA"	"888"	""	""
"3325F5C54970D17BCF0834B9F0A53572"	"99 guards"	"경비병 99명"	"99名守卫"
"EA1F452C46DD234C714154AB55BE3DA8"	"99 reservists"	"99 명의 예비군"	"99名预备兵"
"E1331DD843E516C0F97203ABC55958A9"	"99 residents"	"99명의 주민"	"99 名居民"
"1159C3964F40C7A9CF0BEF931458826A"	"999"	""	""
"3E7E54F2443EF56AE5A276BAE118AFDE"	"999"	""	""
"A3FB418C4B7124BB1768D7A3C551E114"	"999"	""	""
"2206282248E6403EFED13CBFF5B5D909"	"<"	""	""
"4FE6A496435A7BF75CC148A70B078A35"	"<Tell Cyrus about Red Thorns attack and mole inside caravan>"	"<사이러스에게 레드 손가락의 공격과 캐러밴 내부의 간첩에 대해 말하세요>"	"<告诉塞勒斯关于赤荆棘者袭击和商队内部的内鬼>"
"00E1196D4EC75F6F1E419A85915D8896"	"<The old man speaks to you in an incomprehensible language. Certain words sound similar to your own native tongue. You can piece together some of the meaning. What caught your attention were phrases instructing you on how to build shrines and prepare some concoction.>"	"<노인이 이해할 수 없는 언어로 말을 합니다. 어떤 단어는 여러분의 모국어와 비슷하게 들립니다. 여러분은 뜻을 조금 이해할 수 있습니다. 여러분의 주목을 끈 것은 신전을 짓고 약을 만드는 방법을 가르치는 문구였습니다.>"	"<老人用你无法理解的语言对你说话。某些词听起来与你的母语相似。你可以拼凑出一些含义。引起你注意的是指导你如何建造神殿和准备一些魔药的短语。>"
