key,source,Translation
15248D8340A8125716828F9974B696A8,' +L+ ,
E16C0538432519C71FE2D7BF4EBA93A8,' - ,
D6347FB243F42887602F1EAF4DE10741,' -L- ,
2682B48542A1417474F63CBD84629D6B,' None materials selected,
6E0B43EB435E51C4A0C96CA52B7AF713,' Optional,
745FBE8A43D41A2226236F8E58BB8088,' You are now a stranger to {SettlementName}.,
35B74AFE43A8918FEC559C93D37F812E,' kg,
D43E99C74BD1314436602EA9062C0061,' kg,
6EF6352B452A0CA12F858B8FB067E10D,' seconds,
BFCF164B4FC6E1416A723085B967C63F,' to give up ,
969788CD4F5B70E12C8212B063E41673,%,
9FFDFA884A63D1B28FF42F968B8F3974,"(For buildings of ALL tiers, not only T1)",
8027E57144EDE955823BCE9D5ECE3CE0,* We are using generative AI during development to prototype the voice acting. Expect professional voice acting for the full release.,
0A4CB0B9456832D7EE5355AB4B31629D,+,
0E3B35944BD5FC4620DE0D95C88CA754,+,
58FEEEB64BC8E3400BBA2785C167D96A,+,
F7610685462A038C5EEEF4B8A609B784,+,
04C2457C4AF88C31088DAD83E53247FC,+ ,
288A332145DCC4277A28EEA98F97CFDE,+23,
07614DD34AD113FD1C581F9323C66D95,+3,
7B5528BE4BF063FDDA1DFDB30AD5A606,+3,
CE24E7A244714EDD2E1C758D357DDA58,+3,
1CF5A51F415FB5CC2E41DCB890EBCD1C,-,
9C940D864DAD553D371A479B1EC375AC,-,
1959EFF94E372419D05D0F8D2F39E92E,- ,
81C951D4453B773A8024799713735B07,-1,
0E6F99CC4D09E9DF00B965BD93E7881F,-3,
4062AD884110E5318B38CBB034FBDFCE,-3,
A40B2E8649392E80A7B03D8020950C38,-3,
379F59AE48B45B39745644903E72C78C,"...We're fighting to save these innocents, but it's getting harder by the day.<cf>Who could have known that The Butcher, with that grim name, is someone who's got a soft spot for kids. Together, we're a makeshift family in this mess.<cf>But there's talk of a rat among us. Someone leaking our next moves, maybe even leading the king's dogs to our door. Can't trust anyone these days.<cf>And then there's my own kid. Always looking at me like they know something's up. Makes my skin crawl. I'm in this to protect them, but how do you shield your own from a storm like this?<cf>Every move we make feels like a gamble. But we're in too deep now to turn back...",
FD6BFBE147EBACFA93CE8EBA5F78FA63,/,
B9EEED6F49771580DE652E973D670BE4,/CLAN,
D83BAA9947C60D0BE3B2BB9487F373C2,/COMBAT,
DD2259DA4AD9E8C34798EF902EBC28BD,/MAP,
41B79A0647C5E2DD15946EB469E08BEC,/OTHER,
544DFBA847FC49B4ED4DE99AF6749DAB,/clan,
8AE85017436A3466296985BC2EB1B984,/map,
97E5C9CD4448BDB9203579AAF96ECF55,/say,
A253475B4596A2A4421AB58B43740286,/say,
9248A768452F5A960B857E8853BBC7DC,0,
FC1680AF4E4249B8375102AA89581A0F,0,
9DE82BA24185C40B07D76AA91E1065A0,00,
EDE6A9CD47C15BDBC4155F9B5DE4AB2F,00,
FB7B05614D903FC63F11DE91C269004D,000/999 space,
4D185620453E17F47399DF8B974243CD,02:40,
EEDEF03B446F82038E5423B4EFBC38B1,0:00,
422C13214F25C711D10CED9561D31914,1,
04B7645B4C663F62AB4C02914402EFCA,1 Warehouse,
9031275D42E9B3DC02054F8C5AEF466A,1/3,
3F0F47B0458A5FDDC5A6BBB5E14B56BE,10,
4B0072794C038A73948D459849E68A5E,10,
72228F1444AAE171AACA26B122F3272A,10,
ADD8E08D49878F5C11AC588940C4F005,10,
B1BE89BD47196B5EF2AA94898134BAC0,10,
E9EA75FA44D54B5997CE2F8B3093E19A,10,
EE25C5D34510A2B129F7E79A1D639F27,10,
EE95376B4D0DAD6EEE75B591C32045D8,10,
F60932AB439A08B01D794BA164379ACA,10,
8E23CB8E41402600C5D530BAF75E7444,10 gold?,
3BF45C5C4A1BE03DE9E6558FE248BBCE,"10,000k",
CD7701024C0E3F3D42FBD2B89C083D8B,100,
C1C005DB47B1B02E3BC29296BA107D8E,"100 Coins. I don’t care where the money comes from, but I’m not returning empty-handed.",
B83C5F994507248E51E4D5B36BC6C99C,"100 coins? That's daylight robbery! The miller's in a bind, and you're exploiting the situation!",
FA6C998D4E454CC317ADC4BE58518672,100 gold?,
058B23464E92D03386FE60A8A4F70F26,100/100,
41DC7995478508063C9A0B9879577F27,100/100,
CD5F69EC42E270C22296929A723F6CF7,100/100,
ACB10A034B4FAEA773864B97580F15CE,10x10 Grid,
E85A07E6468D638FA635668AE266CA3B,120,
7592DC7644EEA1CF02CD2384A1ACADF1,15,
44108E38463B715005B434BBE885B345,16/10 Feb 296345080,
B202435C4089105D564074A18528C573,2,
303159BF4F1801E5FDBBC08EECD9F1EB,2 Agility: Novice Books and 2 Archery: Novice Books,
0AC36CF748996007346B9EB2D5733653,2 Strength: Novice Books and 2 Shields: Novice Books,
9BA427CA452581E459057CA3A56E7900,2/10,
FE6F31A64B5A93B95D16F68B4E876A00,2D & 3D ART,
ABB8B2E045AE59ECCBA2848EFA60D4B9,3,
DE355F3E4DCC3D0FBAF06E83E0AB02AF,3,
483C143F41D0798D0342D58CD6077DA6,3 - 8 (avg 5.4),
6EBD5F9A44CA40E25A9B399632B0AC39,39/88,
713C04C644CA4B8E302B978ED7896AA0,39/88,
9D98CD9A4FCB747D56086298A1CB418F,4 guards,
9739537044DC7DE7EAF5D2BE8B9DE50E,4 workers,
6061B34D4525A3AAE60637934A017441,4000,
0DDD7CD54EDB4BB699A2DD9B041B2A90,5 Bandits were spotted.,
85A7E17B4A915291440154A295E64E2E,5 Buildings,
32282C2C4C41B54E45BE1884385E9A52,"50 gold coins is not enough. Make it 100, and I'm in.",
8286CF2D4CA6339121F8A1AC1FE9FC79,50 gold?,
5C8A2507463034EE1AA53D87122D0098,50 gold?! For what?,
633CED314BA3F1F0FCE932A34B9611C7,56/100,
E09D8E55493ECDFD6D78C5ABF37396A0,56/400,
58AFCE414C3C6F8AABFAE5A0FD6A03AA,5x5 Grid,
F1D3CF514C9792B511B533B7F7B03DD7,6.5%,
DB3103E74A17224B9653E3A47B0A5206,60 will be enough.,
75297A9640ACC4B61FDC9FA68841802C,7,
0E95DDE54681E04F6A8BC5A6CD42B460,888,
BF66421D4CABCA113E5FB9A8AC77B617,888,
CAF981314FEC04AF919EE8B5A916857A,888,
CD02B3BD49024215D0B9DD822FE3D12F,888,
F1D651BB4BBB0D6006D607A92C2852DA,888,
F3E834704D6D96D7609010B0BBC78FAA,888,
3325F5C54970D17BCF0834B9F0A53572,99 guards,
EA1F452C46DD234C714154AB55BE3DA8,99 reservists,
E1331DD843E516C0F97203ABC55958A9,99 residents,
1159C3964F40C7A9CF0BEF931458826A,999,
3E7E54F2443EF56AE5A276BAE118AFDE,999,
A3FB418C4B7124BB1768D7A3C551E114,999,
2206282248E6403EFED13CBFF5B5D909,<,
4FE6A496435A7BF75CC148A70B078A35,<Tell Cyrus about Red Thorns attack and mole inside caravan>,
00E1196D4EC75F6F1E419A85915D8896,<The old man speaks to you in an incomprehensible language. Certain words sound similar to your own native tongue. You can piece together some of the meaning. What caught your attention were phrases instructing you on how to build shrines and prepare some concoction.>,
9DC597AC49E20589BA00A0B2A69E6453,<highlight>Observe</> your enemies carefully when they attack and block in the same direction.<cf><cf>Remember that <highlight>footwork</> and keeping distance are the key to success.,
93F334C94133958344E72EB5204A0D49,<msglog>Reached level </><msglog_red>999</>,
1A4158A14BCE851907B924987753B946,>,
44012DDE4B1C2F80ECA1FA83B3356BFC,>>,
3831290941521BD483C65FA6C36C0182,???,
A8467F2D49DFA7EDB5B91DB8EAA6D61D,???,
44B931D24DBDFCA135D426BF1009D820,A Cut Above,
1528D911450FE5952C618BB28E9ACC8A,A Cut Above quest item.,
73606DE5472E344C7B5C58A9B5077A71,A Cut Above quest item.,
1760A591456985766C8969BFBD38EBCA,A Different Outcome,
7C3DBD63480AC072C8EBF9BAED6617D0,A Different Outcome,
BF0171E6494363A62754CAA1FD3536D1,A Different Outcome,
CB9C1C134C500783FB8E289DDBEE9A7E,A Different Outcome,
D1C2C99D47FAA6A3F731BFB581902058,A Different Outcome,
7FB31EEB4DA77DC599A457B00A79A6F2,"A Father's Grief",
BAF1B45742FA35BD502274A68AC1FF85,"A Father's Message",
BFC807874E40EC04A6121E983D83BF09,A Healing Touch,
C26C4457465E5FBD499E888E505745B5,A Hearty Request,
2587702E46DEA9C4EBA8DDAF2CEFDF0C,A New Home,
4FCE89494BF105765AD662BA14511B49,A New Home,
E67F32AD4A7375D998C06EB0D778392B,A Plague,
4BE3017C45B185A0FF4FA5AF18B37B76,A Remedy for Remembrance,
7DC828534E6DF85472087D95591A7791,A Remedy for Remembrance,
A72217C44123F75265CC2C81C3A39BE1,A Shot at Redemption,
CA62DBD140F105609285E08BC841DC15,A Shot at Redemption,
2950F7D643C8BB08DFBCB9961C6B02FB,A Tall Tusk,
54675FD94DB179AE0B4C44A355DAB6CA,A Tall Tusk,
44C14877437B5D177D232F8318D80AAB,A bag full of axe heads that should be made without the need to vipe out the entire bandit camp.,
E04156374C4115D39DA74CA62E241917,A baked dish which is usually made of a pastry dough casing that contains a filling of various sweet or savoury ingredients.,
D6BCB4B14E46E0E16AC21B95C2E242C0,"A beneficial exchange for both our villages, indeed.",
9399C26C427DBBAC5FFF1BA20F031AFE,A better version of the simple pickaxe used for mining ores and stones. Can also be used as weapon.,
A33FDD36452A7CD348488685E95D1547,A better version of the simple pickaxe used for mining ores and stones. Can also be used as weapon.,
F969DBA342FD8214858141BAA74D191C,"A bit pricey, but we're desperate. Here's the gold.",
CDD55F834A0850FF4379359792EBFF0F,"A boar… A BOAR?! I don’t know what to say, I’m stunned. I hope the Elder doesn’t exile him.",
EACFB0774015FA9076611784971304E4,"A break… I haven't considered that. It could help clear my head. Thanks for the suggestion.",
68BB48CD4C80455B2AF53FB626B4DA76,A bunch of lads that hate the Brigands and Bandits even more than me.,
3184E01F436E44FC6E981099F4EC5C57,A colored material that is completely or nearly insoluble in water.,
DD1294994EDC3706CAD41781E1E419FE,A colored material that is completely or nearly insoluble in water.,
F78F65F04C050672643FD3972670167B,A common fish that lives in the lakes and rivers of the Lowlands. Often sold by local fishermen. Inedible raw due to a high concentration of parasites that need to be cooked out.,
06E75016457DDF9B74EC988A06DA5009,A common herb that can be used to add flavor to dishes or to treat various ailments.,
C59E3B5E4AAB80B6D21508864810F693,A common herb that can be used to add flavor to dishes or to treat various ailments.,
7DC8C4A642CB56AEC664BEAA51C6BE27,A common herb that can be used to add flavor to dishes or treat various ailments.,
1A2DF4D44E914C258E2CAF95143E712B,A common herb that can be used to add flavor to dishes. Grows mostly in fields. Can be planted on a farm.,
61AE8E1B49B60D4E58A6BEBC31C24F85,A common type of carbonate sedimentary rock. Can be mined from certain rocks. Can be found in the Southern parts of Karvenia.,
AD88A14441CFA7F2C55D72B8FD06058D,"A couple nights ago, I got a visit from some old mates who had left the Lord’s guard, like I did back in the day. They came over for a drink and a chinwag.",
F84ECF55422FE1C3B54443B225BC37D1,"A couple of my friends want to go on a trip outside the Lowlands, you know what I mean right? And I want to keep them safe so let’s say you bring me some reinforced gambesons and sturdy helmets and I will give you some gold for the trouble.",
A3ECA2FE42F3FEEC5794F6A82C3A43A1,A couple of trade caravans and we could buy food for the next three winters for the whole village.,
DD46F2CD4987B076DEF9B5817B11F9FC,A cozy building that can house up to 7 settlers and significantly affect their morale.,
774FECE341E8E5F1E5256190349938AD,"A crowd gathered, and they were furious. They were all shouting at Dobbins. He had nowhere to run.",
E96A11FD49D438A2CC0865A6E83EDB01,"A dancing light in the ruins? That's quite the sight.",
5AE227444780151821D4388B94605568,A durable blend of flax and cotton fibers. Crafted by skilled artisans.,
A635A3294DB287629EEBBEA41C5FC1CA,A durable blend of flax and cotton fibers. Crafted by skilled artisans.,
A9A7075440BE572256632BA07A936D47,"A fair response. I understand the challenges. Your efforts, however sporadic, are still very much appreciated. I'll ensure that your findings are put to good use.",
D56ACCAC42826C65686239B3CD45069C,A farmer in Padstow needs help with a cow bitten by wolves. He thinks you can whip up a cure. Got a bit of a problem.,
02B3E46E442902A09C6CA49A2EC3A754,A fat bag of coins for your trouble. What do you think?,
727B0B93409E778F37BC0CA1D70C70AF,"A few leaves steeped in hot water make a tea that calms the stomach and eases the mind. It's also said to ward off evil spirits, but that's more a matter of belief, I suppose.",
B62CB8CD4DC4FF6EDD5B74BD55A3ED0F,"A few leaves steeped in hot water make a tea that calms the stomach and eases the mind. It's also said to ward off evil spirits, but that's more a matter of belief, I suppose.",
D182B65B44CEBB76CAA415AC19FC1180,"A few leaves steeped in hot water make a tea that calms the stomach and eases the mind. It's also said to ward off evil spirits, but that's more a matter of belief, I suppose.",
